index,qubits,sys_noisy,sys_ideal,ideal,noisy
58,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.40724998712539673, 0.6782500147819519, 0.5270000100135803, 0.4749999940395355]","[0.0, 0.0, 0.0, 0.0, 0.48828125, 0.5048828125, 0.4609375, 0.51171875]"
59,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.45124998688697815, 0.38499999046325684, 0.609250009059906, 0.2342499941587448]","[0.0, 0.0, 0.0, 0.0, 0.4990234375, 0.470703125, 0.4912109375, 0.5068359375]"
60,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.4975000023841858, 0.5052499771118164, 0.4790000021457672, 0.5019999742507935]","[0.0, 0.0, 0.0, 0.0, 0.4970703125, 0.4677734375, 0.5068359375, 0.5205078125]"
61,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.26750001311302185, 0.5017499923706055, 0.5440000295639038, 0.6520000100135803]","[0.0, 0.0, 0.0, 0.0, 0.50390625, 0.658203125, 0.5009765625, 0.470703125]"
62,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5615000128746033, 0.6524999737739563, 0.31299999356269836, 0.27649998664855957]","[0.0, 0.0, 0.0, 0.0, 0.5576171875, 0.333984375, 0.4921875, 0.48828125]"
63,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.20874999463558197, 0.6424999833106995, 0.6464999914169312, 0.12974999845027924]","[0.0, 0.0, 0.0, 0.0, 0.21484375, 0.345703125, 0.486328125, 0.1494140625]"
64,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.6499999761581421, 0.7602499723434448, 0.5899999737739563, 0.4390000104904175]","[0.0, 0.0, 0.0, 0.0, 0.5126953125, 0.3955078125, 0.4677734375, 0.5029296875]"
65,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.46000000834465027, 0.3244999945163727, 0.6312500238418579, 0.5017499923706055]","[0.0, 0.0, 0.0, 0.0, 0.484375, 0.5166015625, 0.5361328125, 0.5107421875]"
66,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.7045000195503235, 0.6694999933242798, 0.5295000076293945, 0.46825000643730164]","[0.0, 0.0, 0.0, 0.0, 0.50390625, 0.341796875, 0.4853515625, 0.515625]"
67,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.4657500088214874, 0.265749990940094, 0.48124998807907104, 0.26249998807907104]","[0.0, 0.0, 0.0, 0.0, 0.5029296875, 0.4892578125, 0.4931640625, 0.3291015625]"
68,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.5885000228881836, 0.8212500214576721, 0.5262500047683716, 0.1717499941587448]","[0.0, 0.0, 0.0, 0.0, 0.5087890625, 0.3369140625, 0.466796875, 0.521484375]"
69,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.30524998903274536, 0.44325000047683716, 0.5899999737739563, 0.9647499918937683]","[0.0, 0.0, 0.0, 0.0, 0.4794921875, 0.3662109375, 0.51171875, 0.955078125]"
70,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.4937500059604645, 0.5015000104904175, 0.5607500076293945, 0.578499972820282]","[0.0, 0.0, 0.0, 0.0, 0.4794921875, 0.650390625, 0.5634765625, 0.5869140625]"
71,4,ibmq_kolkata,ibmq_qasm_simulator,"[0.0, 0.0, 0.0, 0.0, 0.3747499883174896, 0.6654999852180481, 0.7045000195503235, 0.4272499978542328]","[0.0, 0.0, 0.0, 0.0, 0.5068359375, 0.6357421875, 0.5126953125, 0.501953125]"
