qubits,ideal,noisy
4,"[0.0001,0.0001,0.0001,0.0001,1.,0.495,0.0001,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.9629,0.4971,0.0166,0.0117]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4072,0.6783,0.527,0.475]","[0.0001,0.0001,0.0001,0.0001,0.4883,0.5049,0.4609,0.5117]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4512,0.385,0.6093,0.2342]","[0.0001,0.0001,0.0001,0.0001,0.4990,0.4707,0.4912,0.5068]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4975,0.5052,0.479,0.502]","[0.0001,0.0001,0.0001,0.0001,0.4971,0.4678,0.5068,0.5205]"
4,"[0.0001,0.0001,0.0001,0.0001,0.2675,0.5017,0.544,0.652]","[0.0001,0.0001,0.0001,0.0001,0.5039,0.6582,0.501,0.4707]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5615,0.6525,0.313,0.2765]","[0.0001,0.0001,0.0001,0.0001,0.5576,0.334,0.4922,0.4883]"
4,"[0.0001,0.0001,0.0001,0.0001,0.2087,0.6425,0.6465,0.1297]","[0.0001,0.0001,0.0001,0.0001,0.2148,0.3457,0.4863,0.1494]"
4,"[0.0001,0.0001,0.0001,0.0001,0.65,0.7602,0.59,0.439]","[0.0001,0.0001,0.0001,0.0001,0.5127,0.3955,0.4678,0.5029]"
4,"[0.0001,0.0001,0.0001,0.0001,0.46,0.3245,0.6313,0.5017]","[0.0001,0.0001,0.0001,0.0001,0.4844,0.5166,0.5361,0.5107]"
4,"[0.0001,0.0001,0.0001,0.0001,0.7045,0.6695,0.5295,0.4683]","[0.0001,0.0001,0.0001,0.0001,0.5039,0.3418,0.4854,0.5156]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4658,0.2657,0.4812,0.2625]","[0.0001,0.0001,0.0001,0.0001,0.5029,0.4893,0.4932,0.3291]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5885,0.8213,0.5263,0.1717]","[0.0001,0.0001,0.0001,0.0001,0.5088,0.3369,0.4668,0.5215]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3052,0.4433,0.59,0.9647]","[0.0001,0.0001,0.0001,0.0001,0.4795,0.3662,0.5117,0.9551]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4938,0.5015,0.5608,0.5785]","[0.0001,0.0001,0.0001,0.0001,0.4795,0.6504,0.5635,0.5869]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3747,0.6655,0.7045,0.4272]","[0.0001,0.0001,0.0001,0.0001,0.5068,0.6357,0.5127,0.502]"
4,"[0.0001,0.0001,0.0001,0.0001,0.1105,0.1105,0.242,0.497]","[0.0001,0.0001,0.0001,0.0001,0.5195,0.3584,0.2568,0.5088]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4305,0.1117,0.218,0.4108]","[0.0001,0.0001,0.0001,0.0001,0.4717,0.6328,0.5195,0.3965]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4735,0.1283,0.1283,0.49]","[0.0001,0.0001,0.0001,0.0001,0.4531,0.4795,0.5225,0.4932]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5383,0.4663,0.3158,0.5372]","[0.0001,0.0001,0.0001,0.0001,0.5059,0.4668,0.5078,0.5088]"
4,"[0.0001,0.0001,0.0001,0.0001,0.597,0.4425,0.5088,0.6348]","[0.0001,0.0001,0.0001,0.0001,0.4951,0.3691,0.4902,0.4932]"
4,"[0.0001,0.0001,0.0001,0.0001,0.8303,0.069,0.0001,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.4863,0.3584,0.0156,0.0117]"
4,"[0.0001,0.0001,0.0001,0.0001,1.,0.4778,0.4963,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.9570,0.4668,0.4951,0.0078]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3192,0.4487,0.6445,0.3665]","[0.0001,0.0001,0.0001,0.0001,0.5195,0.4229,0.502,0.4814]"
4,"[0.0001,0.0001,0.0001,0.0001,0.4568,0.6035,0.7005,0.3635]","[0.0001,0.0001,0.0001,0.0001,0.4980,0.3584,0.5,0.5059]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5698,0.413,0.515,0.442]","[0.0001,0.0001,0.0001,0.0001,0.4941,0.3428,0.4834,0.5107]"
4,"[0.0001,0.0001,0.0001,0.0001,0.583,0.8367,0.5543,0.4938]","[0.0001,0.0001,0.0001,0.0001,0.4863,0.4951,0.4834,0.5068]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3985,0.3318,0.386,0.4725]","[0.0001,0.0001,0.0001,0.0001,0.5098,0.4932,0.5186,0.5938]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3765,0.4803,0.3215,0.5677]","[0.0001,0.0001,0.0001,0.0001,0.4961,0.3271,0.5029,0.4961]"
4,"[0.0001,0.0001,0.0001,0.0001,0.353,0.5038,0.4145,0.5077]","[0.0001,0.0001,0.0001,0.0001,0.5078,0.3193,0.4971,0.4971]"
4,"[0.0001,0.0001,0.0001,0.0001,0.3853,0.5125,0.9833,0.751]","[0.0001,0.0001,0.0001,0.0001,0.4287,0.4883,0.4707,0.5264]"
